discount_band,total_orders,total_qty,gross_revenue,discount_amount,net_revenue,gross_profit,avg_discount_pct,avg_payment_days,margin_pct,discount_pct_effective
no_discount,304,2966,45321.47,0.0,44841.08,17475.73,0.0,40.61712846347607,0.38972589420236975,0.0
low_discount,240,3267,51057.76,1311.5998,49301.094300000004,18682.2343,0.024551282051282052,41.49038461538461,0.37894157452809313,0.025688549595595262
medium_discount,338,5745,89237.31,4801.801,83449.2135,30234.7635,0.05337634408602151,39.645161290322584,0.362313342833363,0.05380934275136712
high_discount,148,2149,33308.7,2866.1746000000003,30221.7861,10013.7561,0.08609467455621302,40.20710059171598,0.33134229945463084,0.08604882808395406
very_high_discount,17,232,3383.04,399.0094,2939.4938,870.1438000000002,0.11823529411764705,37.94117647058823,0.29601824640691543,0.11794403849791904
